id,customfields_candidateexp,applications_jobdetails_customfields_joblevel,applications_jobs_name,customfields_gender,customfields_candidateage,customfields_dateofbirth,customfields_language,applications_location_address,applications_jobdetails_hiringteam_hiringmanagers_name,applications_jobdetails_departments_name,customfields_hiredate,customfields_startdate,applications_offerdetails_resolvedat,applications_offerdetails_createdat,applications_appliedat,applications_jobdetails_openings_openedat,applications_jobdetails_openings_closedat,customfields_degree,customfields_discipline,applications_source_publicname,applications_rejectedat,applications_status,applications_jobdetails_status,applications_offerdetails_status,recruiter_name,applications_rejectionreason_name,applications_currentstage_name,applications_prospect,company,applications_jobdetails_customfields_salaryrange_maxvalue,applications_jobdetails_customfields_salaryrange_minvalue
3283846668914525184,9,L3,Backend Developer,Female,30,1994-03-03,UK,UK,Duke Thomas,Platform,2024-01-19,2024-01-27,2024-01-15,2024-01-09,2023-12-24,2023-12-12,2024-01-06,PhD,CS,HRMarket,,hired,Closed,hired,Duke Thomas,,hired,True,Lowe-Brown,400000,350000
3286584808511112192,1,L1,Junior Backend Developer,Female,22,2002-06-24,USA,USA,Connor Hawke,Platform,2024-02-12,2024-02-16,2024-02-03,2024-01-30,2024-01-17,2023-12-07,,PhD,IS,HRMarket,,hired,Open,hired,Connor Hawke,,hired,True,Knox PLC,170000,70000
3287863936115802112,4,L2,Support Specialist,Female,25,2000-01-04,Canada,Canada,Zatanna Zatara,Customer Service,2024-02-12,2024-02-13,2024-02-08,2024-02-04,2024-01-21,2023-12-21,2024-01-15,BE,CS,Monster,,hired,Closed,hired,Zatanna Zatara,,hired,True,Jordan-Gray,250000,200000
3287864387607461888,2,L1,Customer Service Associate,Female,25,1999-02-02,Canada,Canada,Selina Kyle,Customer Service,2024-02-13,2024-02-14,2024-02-03,2024-01-29,2024-01-08,2023-12-14,2024-01-04,BE,CS,Monster,,hired,Closed,hired,Selina Kyle,,hired,True,Reese Ltd,170000,120000
3287871858333974528,2,L2,System Administrator,Male,23,2001-08-03,USA,USA,Hal Jordan,IT,2024-01-12,2024-01-16,2024-01-04,2023-12-29,2023-12-11,2023-12-04,2023-12-27,PhD,EC,LinkedIn,,hired,Closed,hired,Hal Jordan,,hired,True,Elliott Ltd,190000,140000
3287876294145998848,1,L1,Customer Service Associate,Male,23,2001-05-02,UK,UK,Zatanna Zatara,Customer Service,2024-01-12,2024-01-20,2024-01-03,2023-12-29,2023-12-15,2023-12-14,2024-01-04,other,IS,LinkedIn,,hired,Closed,hired,Zatanna Zatara,,hired,True,Reyes Ltd,150000,100000
3287876623843459072,9,L5,Regional Sales Manager,Female,30,1994-08-12,UK,UK,Arnold Flass,Sales,2024-01-12,2024-01-18,2024-01-10,2024-01-05,2023-12-18,2023-12-17,2024-01-11,BE,IS,LinkedIn,,hired,Closed,hired,Arnold Flass,,hired,True,Mathews-Yang,460000,400000
3287880923315437568,4,L3,UX Designer,Male,28,1996-04-08,Canada,Canada,Tim Drake,UI/UX,2024-01-12,2024-01-16,2024-01-07,2024-01-01,2023-12-23,2023-12-19,,Mtech,EC,HRMarket,,hired,Open,hired,Tim Drake,,hired,True,Miller-Bennett,290000,200000
3287998310224232960,3,L1,Junior UX Designer,Female,25,1999-02-10,USA,USA,Jason Todd,UI/UX,2024-01-12,2024-01-19,2024-01-10,2024-01-05,2023-12-27,2023-12-11,,Mtech,AI,Monster,,hired,Open,hired,Jason Todd,,hired,True,Mercer Group,220000,140000
3290758569749643776,4,L1,Junior UX Designer,Male,28,1996-12-08,USA,USA,Jason Todd,UI/UX,2024-01-12,2024-01-13,2024-01-05,2023-12-30,2023-12-12,2023-12-11,,Mtech,EC,HRMarket,,hired,Open,hired,Jason Todd,,hired,True,Alvarez Ltd,220000,170000
3290775229911008256,2,L1,Junior Backend Developer,Non-Binary,24,2000-11-28,Mexico,Mexico,Damian Wayne,Platform,2024-02-12,2024-02-25,2024-02-02,2024-01-28,2024-01-12,2023-12-07,,Btech,IS,HRMarket,,hired,Open,hired,Damian Wayne,,hired,True,"Clark, Hall and Blackburn",190000,90000
3290906560808616448,1,L1,Social Media Coordinator,Female,22,2002-12-04,Canada,Canada,Harleen Quinnzel,Marketing,2024-01-01,2024-01-12,2023-12-23,2023-12-16,2023-11-30,2023-11-29,,Btech,AI,Referral,,hired,Open,hired,Harleen Quinnzel,,hired,True,Mathews-Yang,160000,70000
3291458383139308032,9,L1,IT Support,Female,32,1992-03-18,USA,USA,Jon Stewart,IT,2024-07-17,2024-07-24,2024-07-13,2024-07-06,2024-06-19,2023-12-20,2024-01-10,PhD,CS,LinkedIn,,hired,Closed,hired,Jon Stewart,,hired,True,"Zuniga, Trujillo and Johnson",320000,240000
3291488197241995776,10,L4,MLOps Engineer,Female,31,1993-06-09,USA,USA,Cassandra Cain,Machine Learning,2024-01-01,2024-01-07,2023-12-29,2023-12-24,2023-12-06,2023-12-05,2023-12-30,PhD,AI,HRMarket,,hired,Closed,hired,Cassandra Cain,,hired,True,"Murray, Baker and Wright",440000,370000
3291491089508205056,2,L2,Frontend Developer,Male,26,1998-07-21,India,India,Tim Drake,UI/UX,2024-01-01,2024-01-03,2023-12-25,2023-12-21,2023-12-03,2023-12-02,2023-12-26,Btech,IS,HRMarket,,hired,Closed,hired,Tim Drake,,hired,True,Harding-Hudson,230000,120000
3291515646948409856,5,L3,Data Analyst,Male,28,1996-08-02,China,China,Stephanie Brown,Machine Learning,2024-01-01,2024-01-06,2023-12-28,2023-12-21,2023-12-04,2023-12-03,,BE,EC,HRMarket,,hired,Open,hired,Stephanie Brown,,hired,True,"Cox, Thomas and Pineda",330000,230000
3291569315198796288,5,L3,Technical Consultant,Male,28,1996-05-22,UK,UK,Selina Kyle,Customer Service,2024-01-01,2024-01-03,2023-12-23,2023-12-18,2023-12-10,2023-12-09,2023-12-24,BE,EE,LinkedIn,,hired,Closed,hired,Selina Kyle,,hired,True,Johnson Ltd,330000,260000
3291586856113669120,10,L2,System Administrator,Female,31,1993-06-23,Canada,Canada,Hal Jordan,IT,2024-01-01,2024-01-07,2023-12-26,2023-12-21,2023-12-05,2023-12-04,2023-12-27,BE,AI,HRMarket,,hired,Closed,hired,Hal Jordan,,hired,True,Velez-Hays,390000,330000
3291623008195575808,8,L1,Junior UX Designer,Male,29,1995-08-24,USA,USA,Jason Todd,UI/UX,2024-01-12,2024-01-24,2024-01-10,2024-01-05,2023-12-16,2023-12-11,,BE,AI,Internal,,hired,Open,hired,Jason Todd,,hired,True,Jones PLC,310000,270000
3295942539760108032,10,L1,Junior UX Designer,Male,32,1992-05-28,Canada,Canada,Richard Grayson,UI/UX,2024-02-06,2024-02-10,2024-01-27,2024-01-22,2024-01-11,2023-12-11,,other,EC,HRMarket,,hired,Open,hired,Richard Grayson,,hired,True,Cameron PLC,390000,310000
3295945231219819520,3,L2,Frontend Developer,Non-Binary,27,1997-09-07,USA,USA,Barabara Gordon,UI/UX,2024-02-06,2024-02-10,2024-01-31,2024-01-25,2024-01-05,2023-12-02,2023-12-26,Btech,EC,Others,,hired,Closed,hired,Barabara Gordon,,hired,True,Nelson PLC,230000,180000
3295965441742078976,9,L1,Junior UX Designer,Female,31,1993-10-04,Canada,Canada,Tim Drake,UI/UX,2024-02-05,2024-02-06,2024-01-31,2024-01-27,2024-01-14,2023-12-11,,PhD,IS,Monster,,hired,Open,hired,Tim Drake,,hired,True,"Murray, Baker and Wright",330000,260000
3295969250530821120,7,L2,Platform Engineer,Male,28,1997-01-03,UK,UK,Connor Hawke,Platform,2024-02-24,2024-02-28,2024-02-15,2024-02-10,2024-01-20,2023-12-20,2024-01-10,PhD,CS,Others,,hired,Closed,hired,Connor Hawke,,hired,True,Mitchell Group,350000,260000
3296042905151472640,2,L3,Backend Developer,Male,24,2000-02-15,UK,UK,Connor Hawke,Platform,2024-02-12,2024-02-22,2024-02-07,2024-02-03,2024-01-16,2023-12-12,2024-01-06,PhD,EE,Monster,,hired,Closed,hired,Connor Hawke,,hired,True,"Wood, Scott and Thomas",260000,170000
3296043329304658944,8,L1,Customer Service Associate,Female,30,1994-07-04,Canada,Canada,Selina Kyle,Customer Service,2024-02-05,2024-02-06,2024-01-29,2024-01-24,2024-01-11,2023-12-14,2024-01-04,Mtech,IS,LinkedIn,,hired,Closed,hired,Selina Kyle,,hired,True,Peters-Rodriguez,320000,260000
3296058440316617728,3,L2,Marketing Associate,Non-Binary,25,1999-07-30,USA,USA,Pamela Isley,Marketing,2024-02-06,2024-02-16,2024-02-01,2024-01-26,2024-01-13,2023-12-27,,PhD,IS,Monster,,hired,Open,hired,Pamela Isley,,hired,True,Reyes-Clark,230000,190000
3296712091154514432,8,L1,Customer Service Associate,Male,31,1993-06-24,USA,USA,Selina Kyle,Customer Service,2024-02-06,2024-02-16,2024-01-28,2024-01-21,2024-01-03,2023-12-14,2024-01-04,PhD,IS,HRMarket,,hired,Closed,hired,Selina Kyle,,hired,True,Schroeder-Allen,350000,240000
3298853815662412288,1,L1,Junior Backend Developer,Male,22,2002-10-06,Canada,Canada,Duke Thomas,Platform,2024-03-01,2024-03-09,2024-02-21,2024-02-14,2024-02-02,2023-12-07,,PhD,AI,HRMarket,,hired,Open,hired,Duke Thomas,,hired,True,Mcintosh Group,170000,80000
3298899986208523776,3,L1,IT Support,Male,27,1997-11-15,India,India,Guy Gardner,IT,2024-02-01,2024-02-03,2024-01-24,2024-01-17,2023-12-27,2023-12-20,2024-01-10,BE,CS,HRMarket,,hired,Closed,hired,Guy Gardner,,hired,True,Conway-Hernandez,210000,120000
3298943628210078208,5,L1,Sales Associate,Male,29,1995-04-20,USA,USA,Arnold Flass,Sales,2024-02-02,2024-02-05,2024-01-29,2024-01-22,2024-01-14,2023-12-08,2023-12-30,BE,other,LinkedIn,,hired,Closed,hired,Arnold Flass,,hired,True,Benitez PLC,270000,190000
3298950062767342080,7,L1,Junior UX Designer,Female,31,1993-04-05,UK,UK,Richard Grayson,UI/UX,2024-02-03,2024-02-09,2024-02-01,2024-01-27,2024-01-16,2023-12-11,,HighSchool,EC,HRMarket,,hired,Open,hired,Richard Grayson,,hired,True,"Silva, Turner and Carpenter",320000,230000
3298958904955765248,1,L1,IT Support,Female,23,2001-01-14,USA,USA,Guy Gardner,IT,2024-02-01,2024-02-08,2024-01-27,2024-01-20,2024-01-08,2023-12-20,2024-01-10,Btech,IS,HRMarket,,hired,Closed,hired,Guy Gardner,,hired,True,Watkins LLC,170000,80000
3298963327564120576,1,L3,Backend Developer,Male,25,1999-10-22,UK,UK,Roy Harper,Platform,2024-02-01,2024-02-10,2024-01-28,2024-01-23,2024-01-11,2023-12-12,2024-01-06,Btech,CS,HRMarket,,hired,Closed,hired,Roy Harper,,hired,True,Mercer Group,240000,160000
3300925552679976960,4,L3,Backend Developer,Male,28,1996-07-24,Canada,Canada,Damian Wayne,Platform,2024-01-12,2024-01-20,2024-01-10,2024-01-06,2023-12-29,2023-12-12,2024-01-06,BE,EC,Referral,,hired,Closed,hired,Damian Wayne,,hired,True,Thomas-Stephens,300000,210000
3300930720221888512,5,L1,Junior Backend Developer,Male,26,1998-05-27,UK,UK,Duke Thomas,Platform,2024-01-12,2024-01-18,2024-01-10,2024-01-04,2023-12-17,2023-12-07,,Mtech,AI,HRMarket,,hired,Open,hired,Duke Thomas,,hired,True,"Baker, Randolph and Murray",260000,170000
3300956872772681728,3,L1,ML Intern,Male,27,1997-06-18,USA,USA,Cassandra Cain,Machine Learning,2024-01-12,2024-01-24,2024-01-04,2023-12-30,2023-12-17,2023-12-16,2024-01-05,PhD,IS,HRMarket,,hired,Closed,hired,Cassandra Cain,,hired,True,Taylor LLC,200000,160000
3300957161449848832,9,L2,Frontend Developer,Female,33,1991-07-08,China,China,Jason Todd,UI/UX,2024-01-12,2024-01-13,2024-01-03,2023-12-28,2023-12-16,2023-12-02,2023-12-26,Btech,EC,Others,,hired,Closed,hired,Jason Todd,,hired,True,Stafford Group,360000,330000
3300957553961205760,4,L1,Social Media Coordinator,Female,25,1999-05-19,Canada,Canada,Pamela Isley,Marketing,2024-01-12,2024-01-15,2024-01-05,2023-12-30,2023-12-10,2023-11-29,,BE,AI,Referral,,hired,Open,hired,Pamela Isley,,hired,True,Elliott Ltd,210000,170000
3300958240828817408,2,L2,Data Scientist,Female,24,2000-08-27,UK,UK,Cassandra Cain,Machine Learning,2024-01-12,2024-01-23,2024-01-04,2023-12-29,2023-12-08,2023-12-07,2024-01-05,Btech,EC,Monster,,hired,Closed,hired,Cassandra Cain,,hired,True,Watts-Harris,220000,150000
3300983066066944512,5,L2,Frontend Developer,Female,26,1998-08-05,Canada,Canada,Tim Drake,UI/UX,2024-09-26,2024-10-03,2024-09-21,2024-09-17,2024-09-08,2023-12-02,2023-12-26,Btech,CS,LinkedIn,,hired,Closed,hired,Tim Drake,,hired,True,Lopez-Hudson,290000,180000
3300995587658220032,8,L4,Sales Manager,Female,32,1992-09-20,Canada,Canada,Jim Gordon,Sales,2024-01-12,2024-01-14,2024-01-08,2024-01-04,2023-12-26,2023-12-25,2024-01-09,Mtech,CS,Others,,hired,Closed,hired,Jim Gordon,,hired,True,"Johnson, Hunt and Wallace",430000,370000
